Building ID,Market,Street Address,City,State,Postal Code,Latitude,Longitude,On Zayo Network Status,Net Classification,Type,Network Proximity, Estimated Build Cost 
Bldg-078777,Atlanta,130 Trinity Ave SW,Atlanta,GA,30303,33.7482867,-84.3921173,On Zayo Network,On-Net,Local/State Government,1725.78,"$51,418.72 "
Bldg-078151,Denver,639 E 18th Ave,Denver,CO,80203,39.7451918,-104.9792774,On Zayo Network,On-Net,Carrier Hotel,80.1,"$16,004.50 "
Bldg-078778,Atlanta,1700 Cumberland Point Dr SE,Marietta,GA,30067,33.9111711,-84.4914749,Not on Zayo Network,Type 2,Zayo Warehouse,689.17,"$26,540.08 "
Bldg-078158,Atlanta,200 Chastain Center Blvd NW,Kennesaw,GA,30144,34.0361581,-84.5657546,Not on Zayo Network,On-Net,Office - Multi Tenant,416.84,"$22,505.20 "
Bldg-078154,Atlanta,Cobb Pkwy SE & Windy Hill Rd,Marietta,GA,30060,33.9027881,-84.4872854,On Zayo Network,Fiber Only,Splice Point,23.72,"$10,711.60 "
Bldg-078161,Atlanta,94 Zena Dr,Cartersville,GA,30121,34.1899068,-84.7805797,Not on Zayo Network,Fiber Only,Office - Multi Tenant,81056.98,"$1,955,367.52 "
Bldg-079060,Atlanta,1800 Phoenix Blvd,Atlanta,GA,30349,33.613728,-84.4473277,Not on Zayo Network,Fiber Only,Office - Single Tenant,207.45,"$16,223.50 "
Bldg-079232,Atlanta,11800 Wills Rd,Alpharetta,GA,30009,34.058479,-84.311174,Not on Zayo Network,Fiber Only,Office - Multi Tenant,28.33,"$10,849.90 "
Bldg-079521,Atlanta,1968 Peachtree Rd NW,Atlanta,GA,30309,33.8094574,-84.3949262,On Zayo Network,Fiber Only,Hospital,482.43,"$24,472.90 "
Bldg-079899,Atlanta,1080 Holcomb Bridge Rd,Roswell,GA,30076,34.023498,-84.32775,Not on Zayo Network,Fiber Only,Office - Multi Tenant,344.16,"$20,324.80 "
Bldg-079900,Atlanta,5780 Powers Ferry Rd,Atlanta,GA,30327,33.9120966,-84.4235748,On Zayo Network,Fiber Only,Office - Single Tenant,57.15,"$11,714.50 "
Bldg-079533,Denver,2400 Curtis St,Denver,CO,80205,39.75463,-104.984689,Not on Zayo Network,Stubbed,ILEC Central Office,327.43,"$27,134.35 "
Bldg-079573,Denver,2929 W 32nd Ave,Denver,CO,80211,39.7621601,-105.0242069,Not on Zayo Network,Stubbed,ILEC Central Office,23.15,"$13,441.75 "
Bldg-080110,Atlanta,3620 Howell Ferry Rd,Duluth,GA,30096,34.0001392,-84.1636178,Not on Zayo Network,On-Net,Hospital,296.07,"$18,882.10 "
Bldg-080112,Denver,1500 N Watkins Rd,Watkins,CO,80137,39.7396385,-104.6030494,On Zayo Network,Fiber Only,Splice Point,393.99,"$30,129.55 "
Bldg-080113,Atlanta,191 Cobb Pkwy S,Marietta,GA,30060,33.9471183,-84.5185858,Not on Zayo Network,Stubbed,Splice Point,68.54,"$12,056.20 "
Bldg-079892,Atlanta,895 Canton Rd NE,Marietta,GA,30060,33.9739652,-84.5494761,Not on Zayo Network,Fiber Only,Office - Multi Tenant,257.65,"$17,729.50 "
Bldg-080117,Atlanta,555 Windward Pkwy,Alpharetta,GA,30004,34.125509,-84.288401,Not on Zayo Network,Fiber Only,Office - Single Tenant,11227.88,"$279,469.12 "
Bldg-080175,Denver,9197 S Peoria St,Englewood,CO,80112,39.5488997,-104.8420206,On Zayo Network,Fiber Only,Office - Single Tenant,1132.82,"$46,384.60 "
Bldg-080549,Atlanta,250 Piedmont Ave NE,Atlanta,GA,30308,33.7619972,-84.3821536,Not on Zayo Network,Fiber Only,Office - Multi Tenant,62.36,"$11,870.80 "
Bldg-080551,Atlanta,50 Hurt Plz SE,Atlanta,GA,30303,33.754243,-84.387292,On Zayo Network,Fiber Only,Office - Multi Tenant,91.64,"$12,749.20 "
Bldg-080554,Atlanta,25 Park Pl NE,Atlanta,GA,30303,33.7552136,-84.3880016,Not on Zayo Network,Fiber Only,Office - Multi Tenant,33.4,"$11,002.00 "
Bldg-080556,Atlanta,3343 Peachtree Rd NE,Atlanta,GA,30326,33.8468815,-84.3667569,On Zayo Network,Fiber Only,Office - Multi Tenant,436.44,"$23,093.20 "
Bldg-080850,Atlanta,241 Washington Ave NE,Marietta,GA,30060,33.95243,-84.545462,Not on Zayo Network,Fiber Only,Office - Single Tenant,291.64,"$18,749.20 "
Bldg-080878,Denver,12015 E 46th Ave,Denver,CO,80239,39.779746,-104.849359,On Zayo Network,Restricted,Office - Multi Tenant,704.25,"$33,527.50 "
Bldg-081339,Dallas,2909 N Buckner Blvd,Dallas,TX,75228,32.810183,-96.686522,Not on Zayo Network,Fiber Only,Office - Multi Tenant,10930.23,"$285,255.75 "
Bldg-081337,Dallas,3700 Ross Ave,Dallas,TX,75204,32.7973929,-96.7864589,Not on Zayo Network,Fiber Only,Office - Multi Tenant,328.67,"$31,720.20 "
Bldg-081340,Dallas,5000 Malcolm X Blvd,Dallas,TX,75215,32.7546003,-96.7511072,Not on Zayo Network,Fiber Only,Office - Multi Tenant,769.42,"$31,235.50 "
Bldg-081338,Dallas,912 S Ervay St,Dallas,TX,75201,32.775246,-96.793412,Not on Zayo Network,Fiber Only,Office - Multi Tenant,1541.59,"$50,539.75 "
Bldg-081414,Atlanta,3800 Camp Creek Pkwy SW,Atlanta,GA,30331,33.6557949,-84.5151074,Not on Zayo Network,Fiber Only,Office - Multi Tenant,9544.92,"$239,078.08 "
Bldg-081122,Denver,1401 Emporia St,Aurora,CO,80010,39.738322,-104.874053,Not on Zayo Network,Fiber Only,Cell Site,700.76,"$33,422.80 "
Bldg-081123,Denver,525 Laredo St,Aurora,CO,80011,39.7246,-104.8014,Not on Zayo Network,Fiber Only,Cell Site,298.98,"$25,854.10 "
Bldg-081124,Denver,550 Valdai St,Aurora,CO,80018,39.72317,-104.72131,Not on Zayo Network,Fiber Only,Cell Site,865.74,"$38,372.20 "
Bldg-081125,Denver,13801 E Mississippi Ave,Aurora,CO,80012,39.697118,-104.828178,Not on Zayo Network,Fiber Only,Cell Site,62.07,"$15,193.15 "
Bldg-081126,Denver,14125 E Cedar Ave,Aurora,CO,80012,39.71294,-104.824135,Not on Zayo Network,Fiber Only,Cell Site,941.89,"$40,656.70 "
Bldg-081131,Denver,750 14th St,Denver,CO,80202,39.738167,-104.978288,Not on Zayo Network,Fiber Only,Cell Site,122.54,"$17,914.30 "
Bldg-081132,Denver,1196 Grant St,Denver,CO,80203,39.735011,-104.983408,Not on Zayo Network,Fiber Only,Cell Site,396.86,"$30,258.70 "
Bldg-081133,Denver,200 W 48th Ave,Denver,CO,80216,39.782716,-104.990822,On Zayo Network,Restricted,Hotel & Inn,526.63,"$28,198.90 "
Bldg-081134,Denver,4643 S Ulster St,Denver,CO,80237,39.630789,-104.89752,On Zayo Network,On-Net,Office - Multi Tenant,252.5,"$23,762.50 "
Bldg-081135,Denver,4695 S Monaco St,Denver,CO,80237,39.628434,-104.91183,On Zayo Network,Restricted,Office - Multi Tenant,161.08,"$19,648.60 "
Bldg-081136,Denver,9200 E Panorama Cir,Englewood,CO,80112,39.578899,-104.882381,On Zayo Network,Fiber Only,Office - Multi Tenant,268.2,"$24,469.00 "
Bldg-081137,Denver,6500 S Quebec St,Englewood,CO,80111,39.598397,-104.903845,On Zayo Network,Restricted,Office - Multi Tenant,35.99,"$14,019.55 "
Bldg-081138,Denver,5654 Greenwood Plaza Blvd,Englewood,CO,80111,39.613356,-104.896902,On Zayo Network,Restricted,Office - Single Tenant,233.56,"$22,910.20 "
