uniqueID,Lat,Long,BuildCost,ProfitNPV,Industry,ProductGroup,BuildingType,NetStatus,isClosesd,isWon,StreetAddress
1577,32.8008,-96.8196,"26,388.00","96,869.63",IT Infrastructure,Dark Fiber - Metro,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1578,32.7873,-96.7941,"15,880.20",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1579,32.7873,-96.7941,"15,880.20",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1580,32.7873,-96.7941,"15,880.20",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1581,32.7873,-96.7941,"15,880.20",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1582,32.7873,-96.7941,"15,880.20",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1583,32.8008,-96.8196,"26,388.00",0,Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1584,32.8008,-96.8196,"26,388.00",0,Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1585,32.8008,-96.8196,"26,388.00",0,Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1586,32.8008,-96.8196,"26,388.00",0,Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1587,32.8008,-96.8196,"26,388.00","178,582.89",Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1588,32.7873,-96.7941,"15,880.20",0,Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1589,32.7873,-96.7941,"15,880.20",0,Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1590,32.7873,-96.7941,"15,880.20","35,437.06",Telecommunications,Wavelengths - Metro,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1591,32.8055,-96.8401,"21,131.40","24,521.59",Telecommunications,Ethernet,Office - Single Tenant,Not on Zayo Network,null,null,2525 N Stemmons Fwy Dallas TX 75207
1592,32.7873,-96.7941,"15,880.20","65,287.31",Telecommunications,Ethernet,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1593,32.8008,-96.8196,"26,388.00","13,865.24",Telecommunications,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1594,32.7805,-96.8022,"20,463.60","35,437.06",Telecommunications,Wavelengths - Metro,Office - Multi Tenant,On Zayo Network,null,null,1201 Main St Dallas TX 75202
1595,32.7805,-96.8022,"20,463.60","65,287.31",Telecommunications,Ethernet,Office - Multi Tenant,On Zayo Network,null,null,1201 Main St Dallas TX 75202
1596,32.7873,-96.7941,"15,880.20","24,521.59",Telecommunications,Ethernet,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1597,32.7873,-96.7941,"15,880.20","13,865.24",Telecommunications,Ethernet,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1598,32.8008,-96.8196,"26,388.00",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1599,32.8008,-96.8196,"26,388.00",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1600,32.8008,-96.8196,"26,388.00",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1601,32.8008,-96.8196,"26,388.00",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1602,32.8008,-96.8196,"26,388.00",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1603,32.7873,-96.7941,"15,880.20",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1604,32.8008,-96.8196,"26,388.00","37,421.18",IT Infrastructure,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1605,32.7749,-96.8095,"33,136.50","60,826.42",Professional Services,IP Services,Office - Multi Tenant,Not on Zayo Network,null,null,300 Reunion Blvd E Dallas TX 75207
1606,32.8078,-96.8577,"29,809.80","9,365.93",Professional Services,Ethernet,Neutral Data Center,Not on Zayo Network,null,null,3004 Irving Blvd Dallas TX 75247
1607,32.9239,-96.7917,"27,034.50","14,482.59",Professional Services,IP Services,Neutral Data Center,On Zayo Network,null,null,6606 Lyndon B Johnson Fwy Dallas TX 75240
1608,32.9239,-96.7917,"27,034.50","20,130.16",Professional Services,zColo,Neutral Data Center,On Zayo Network,null,null,6606 Lyndon B Johnson Fwy Dallas TX 75240
1609,32.7813,-96.8088,"30,184.25","109,382.13",Professional Services,Ethernet,Office - Single Tenant,On Zayo Network,null,null,401 N Houston St Dallas TX 75202
1610,32.8008,-96.8196,"26,388.00","8,644.36",Media & Content,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1611,32.8008,-96.8196,"26,388.00","81,135.72",Media & Content,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1612,32.8008,-96.8196,"26,388.00",0,Media & Content,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1613,32.8008,-96.8196,"26,388.00","145,391.72",Media & Content,Dark Fiber - Metro,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1614,32.8008,-96.8196,"26,388.00",0,Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1615,32.8008,-96.8196,"26,388.00",0,Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
